coachid,year,yr_order,firstname,lastname,season_win,season_loss,playoff_win,playoff_loss,team,Total seasons played,Ttoal playoff played,percentage season win,percentage playoff win,AVG,Less Greater,Total wins,Total Matches
NELSODO01 ,1993,1,Don,Nelson,50,32,0,3,GSW,82,3,60.97560976,0,30.48780488,0,50,85
NELSODO01 ,1991,1,Don,Nelson,55,27,1,3,GSW,82,4,67.07317073,25,46.03658537,0,56,86
LUCASJO01 ,1993,1,John,Lucas,55,27,1,3,SAS,82,4,67.07317073,25,46.03658537,0,56,86
WEISSBO01 ,1993,1,Bob,Weiss,27,55,0,0,LAC,82,0,32.92682927,#DIV/0!,#DIV/0!,#DIV/0!,27,82
PFUNDRA01 ,1993,1,Randy,Pfund,28,39,0,0,LAL,67,0,41.79104478,#DIV/0!,#DIV/0!,#DIV/0!,28,67
JOHNSMA01 ,1993,2,Magic,Johnson,5,10,0,0,LAL,15,0,33.33333333,#DIV/0!,#DIV/0!,#DIV/0!,5,15
KUNDLJO01 ,1958,1,John,Kundla,33,39,6,7,MIE,72,13,45.83333333,46.15384615,45.99358974,0,39,85
DUNLEMI01 ,1993,1,Mike,Dunleavy,20,62,0,0,MIL,82,0,24.3902439,#DIV/0!,#DIV/0!,#DIV/0!,20,82
LOWESI01  ,1993,1,Sidney,Lowe,20,62,0,0,MIN,82,0,24.3902439,#DIV/0!,#DIV/0!,#DIV/0!,20,82
BROWNHE01 ,1975,2,Herb,Brown,19,21,4,5,DET,40,9,47.5,44.44444444,45.97222222,0,23,49
THOMAIS01 ,2002,1,Isiah,Thomas,48,34,2,4,IND,82,6,58.53658537,33.33333333,45.93495935,0,50,88
HILLBR01  ,1993,1,Brian,Hill,50,32,0,3,ORL,82,3,60.97560976,0,30.48780488,0,50,85
CARTEFR01 ,1993,1,Fred,Carter,25,57,0,0,PHI,82,0,30.48780488,#DIV/0!,#DIV/0!,#DIV/0!,25,82
JONESWA01 ,1950,2,Wally,Jones,7,5,1,2,INI,12,3,58.33333333,33.33333333,45.83333333,0,8,15
AUERBRE01 ,1953,1,Red,Auerbach,42,30,2,4,BOS,72,6,58.33333333,33.33333333,45.83333333,0,44,78
STJEAGA01 ,1993,1,Garry,StJean,28,54,0,0,SAC,82,0,34.14634146,#DIV/0!,#DIV/0!,#DIV/0!,28,82
POLLAJI01 ,1959,2,Jim,Pollard,14,25,5,4,MIE,39,9,35.8974359,55.55555556,45.72649573,0,19,48
ECKMACH01 ,1955,1,Charles,Eckman,37,35,4,6,FTW,72,10,51.38888889,40,45.69444444,0,41,82
HANNUAL01 ,1961,1,Alex,Hannum,41,39,2,3,SYR,80,5,51.25,40,45.625,0,43,85
UNSELWE01 ,1993,1,Wes,Unseld,24,58,0,0,WA1,82,0,29.26829268,#DIV/0!,#DIV/0!,#DIV/0!,24,82
WILKELE01 ,1994,1,Lenny,Wilkens,42,40,0,3,ATL,82,3,51.2195122,0,25.6097561,0,42,85
WILKELE01 ,1983,1,Lenny,Wilkens,42,40,2,3,SEA,82,5,51.2195122,40,45.6097561,0,44,87
KARLGE01  ,1986,1,George,Karl,42,40,4,6,GSW,82,10,51.2195122,40,45.6097561,0,46,92
WILKELE01 ,1987,1,Lenny,Wilkens,42,40,2,3,CLE,82,5,51.2195122,40,45.6097561,0,44,87
HARRIDE01 ,1987,1,Del,Harris,42,40,2,3,MIL,82,5,51.2195122,40,45.6097561,0,44,87
MOTTADI01 ,1994,1,Dick,Motta,36,46,0,0,DAL,82,0,43.90243902,#DIV/0!,#DIV/0!,#DIV/0!,36,82
ISSELDA01 ,1994,1,Dan,Issel,18,16,0,0,DEN,34,0,52.94117647,#DIV/0!,#DIV/0!,#DIV/0!,18,34
LITTLGE01 ,1994,2,Gene,Littles,3,13,0,0,DEN,16,0,18.75,#DIV/0!,#DIV/0!,#DIV/0!,3,16
BICKEBE01 ,1994,3,Bernie,Bickerstaff,20,12,0,3,DEN,32,3,62.5,0,31.25,0,20,35
CHANEDO01 ,1994,1,Don,Chaney,28,54,0,0,DET,82,0,34.14634146,#DIV/0!,#DIV/0!,#DIV/0!,28,82
NELSODO01 ,1994,1,Don,Nelson,14,31,0,0,GSW,45,0,31.11111111,#DIV/0!,#DIV/0!,#DIV/0!,14,45
LANIEBO01 ,1994,2,Bob,Lanier,12,25,0,0,GSW,37,0,32.43243243,#DIV/0!,#DIV/0!,#DIV/0!,12,37
WILKELE01 ,1989,1,Lenny,Wilkens,42,40,2,3,CLE,82,5,51.2195122,40,45.6097561,0,44,87
LOUGHKE01 ,1993,1,Kevin,Loughery,42,40,2,3,MIA,82,5,51.2195122,40,45.6097561,0,44,87
FITCHBI01 ,1994,1,Bill,Fitch,17,65,0,0,LAC,82,0,20.73170732,#DIV/0!,#DIV/0!,#DIV/0!,17,82
KARLGE01  ,1999,1,George,Karl,42,40,2,3,MIL,82,5,51.2195122,40,45.6097561,0,44,87
LOUGHKE01 ,1994,1,Kevin,Loughery,17,29,0,0,MIA,46,0,36.95652174,#DIV/0!,#DIV/0!,#DIV/0!,17,46
GENTRAL01 ,1994,2,Alvin,Gentry,15,21,0,0,MIA,36,0,41.66666667,#DIV/0!,#DIV/0!,#DIV/0!,15,36
DUNLEMI01 ,1994,1,Mike,Dunleavy,34,48,0,0,MIL,82,0,41.46341463,#DIV/0!,#DIV/0!,#DIV/0!,34,82
BLAIRBI01 ,1994,1,Bill,Blair,21,61,0,0,MIN,82,0,25.6097561,#DIV/0!,#DIV/0!,#DIV/0!,21,82
BEARDBU01 ,1994,1,Butch,Beard,30,52,0,0,NJN,82,0,36.58536585,#DIV/0!,#DIV/0!,#DIV/0!,30,82
THOMAIS01 ,2001,1,Isiah,Thomas,42,40,2,3,IND,82,5,51.2195122,40,45.6097561,0,44,87
WILKELE01 ,2001,1,Lenny,Wilkens,42,40,2,3,TOR,82,5,51.2195122,40,45.6097561,0,44,87
LUCASJO01 ,1994,1,John,Lucas,24,58,0,0,PHI,82,0,29.26829268,#DIV/0!,#DIV/0!,#DIV/0!,24,82
DALYCH01  ,1998,1,Chuck,Daly,33,17,1,3,ORL,50,4,66,25,45.5,0,34,54
CARLEPJ01 ,1994,1,PJ,Carlesimo,44,38,0,3,POR,82,3,53.65853659,0,26.82926829,0,44,85
STJEAGA01 ,1994,1,Garry,StJean,39,43,0,0,SAC,82,0,47.56097561,#DIV/0!,#DIV/0!,#DIV/0!,39,82
FITZSCO01 ,1979,1,Cotton,Fitzsimmons,47,35,1,2,KCK,82,3,57.31707317,33.33333333,45.32520325,0,48,85
SILASPA01 ,2002,1,Paul,Silas,47,35,2,4,NOH,82,6,57.31707317,33.33333333,45.32520325,0,49,88
SEYMOPA01 ,1957,1,Paul,Seymour,41,31,1,2,SYR,72,3,56.94444444,33.33333333,45.13888889,0,42,75
LYNAMJI01 ,1994,1,Jim,Lynam,21,61,0,0,WA1,82,0,25.6097561,#DIV/0!,#DIV/0!,#DIV/0!,21,82
FITZSCO01 ,1984,1,Cotton,Fitzsimmons,41,41,2,3,SAS,82,5,50,40,45,0,43,87
CARRML01  ,1995,1,ML,Carr,33,49,0,0,BOS,82,0,40.24390244,#DIV/0!,#DIV/0!,#DIV/0!,33,82
BRISTAL01 ,1995,1,Allan,Bristow,41,41,0,0,CHA,82,0,50,#DIV/0!,#DIV/0!,#DIV/0!,41,82
LAYDEFR01 ,1984,1,Frank,Layden,41,41,4,6,UTA,82,10,50,40,45,0,45,92
FRATEMI01 ,1995,1,Mike,Fratello,47,35,0,3,CLE,82,3,57.31707317,0,28.65853659,0,47,85
MOTTADI01 ,1995,1,Dick,Motta,26,56,0,0,DAL,82,0,31.70731707,#DIV/0!,#DIV/0!,#DIV/0!,26,82
BICKEBE01 ,1995,1,Bernie,Bickerstaff,35,47,0,0,DEN,82,0,42.68292683,#DIV/0!,#DIV/0!,#DIV/0!,35,82
COLLIDO01 ,1995,1,Doug,Collins,46,36,0,3,DET,82,3,56.09756098,0,28.04878049,0,46,85
ADELMRI01 ,1995,1,Rick,Adelman,36,46,0,0,GSW,82,0,43.90243902,#DIV/0!,#DIV/0!,#DIV/0!,36,82
JONESKC01 ,1990,1,KC,Jones,41,41,2,3,SEA,82,5,50,40,45,0,43,87
BROWNLA01 ,1992,1,Larry,Brown,41,41,2,3,LAC,82,5,50,40,45,0,43,87
FITCHBI01 ,1995,1,Bill,Fitch,29,53,0,0,LAC,82,0,35.36585366,#DIV/0!,#DIV/0!,#DIV/0!,29,82
TOMJARU01 ,1997,1,Rudy,Tomjanovich,41,41,2,3,HOU,82,5,50,40,45,0,43,87
RILEYPA01 ,1995,1,Pat,Riley,42,40,0,3,MIA,82,3,51.2195122,0,25.6097561,0,42,85
DUNLEMI01 ,1995,1,Mike,Dunleavy,25,57,0,0,MIL,82,0,30.48780488,#DIV/0!,#DIV/0!,#DIV/0!,25,82
BLAIRBI01 ,1995,1,Bill,Blair,6,14,0,0,MIN,20,0,30,#DIV/0!,#DIV/0!,#DIV/0!,6,20
SAUNDFL01 ,1995,2,Flip,Saunders,20,42,0,0,MIN,62,0,32.25806452,#DIV/0!,#DIV/0!,#DIV/0!,20,62
BEARDBU01 ,1995,1,Butch,Beard,30,52,0,0,NJN,82,0,36.58536585,#DIV/0!,#DIV/0!,#DIV/0!,30,82
NELSODO01 ,1995,1,Don,Nelson,34,25,0,0,NYK,59,0,57.62711864,#DIV/0!,#DIV/0!,#DIV/0!,34,59
CLIFFRO01 ,1946,2,Roy,Clifford,13,10,1,2,CL1,23,3,56.52173913,33.33333333,44.92753623,0,14,26
SCHULMI01 ,1987,1,Mike,Schuler,53,29,1,3,POR,82,4,64.63414634,25,44.81707317,0,54,86
LUCASJO01 ,1995,1,John,Lucas,18,64,0,0,PHI,82,0,21.95121951,#DIV/0!,#DIV/0!,#DIV/0!,18,82
WESTPPA01 ,1995,1,Paul,Westphal,14,19,0,0,PHO,33,0,42.42424242,#DIV/0!,#DIV/0!,#DIV/0!,14,33
HARRIDE01 ,1995,1,Del,Harris,53,29,1,3,LAL,82,4,64.63414634,25,44.81707317,0,54,86
POPOVGR01 ,1999,1,Gregg,Popovich,53,29,1,3,SAS,82,4,64.63414634,25,44.81707317,0,54,86
FITZSCO01 ,1972,1,Cotton,Fitzsimmons,46,36,2,4,ATL,82,6,56.09756098,33.33333333,44.71544715,0,48,88
SHUEGE01  ,1975,1,Gene,Shue,46,36,1,2,PHI,82,3,56.09756098,33.33333333,44.71544715,0,47,85
MOEDO01   ,1981,1,Doug,Moe,46,36,1,2,DEN,82,3,56.09756098,33.33333333,44.71544715,0,47,85
MALONBR01 ,1995,1,Brendan,Malone,21,61,0,0,TOR,82,0,25.6097561,#DIV/0!,#DIV/0!,#DIV/0!,21,82
HARRIDE01 ,1981,1,Del,Harris,46,36,1,2,HOU,82,3,56.09756098,33.33333333,44.71544715,0,47,85
WINTEBR01 ,1995,1,Brian,Winters,15,67,0,0,VAN,82,0,18.29268293,#DIV/0!,#DIV/0!,#DIV/0!,15,82
LYNAMJI01 ,1995,1,Jim,Lynam,39,43,0,0,WA1,82,0,47.56097561,#DIV/0!,#DIV/0!,#DIV/0!,39,82
SENESGE01 ,1957,1,George,Senesky,37,35,3,5,PH1,72,8,51.38888889,37.5,44.44444444,0,40,80
CARRML01  ,1996,1,ML,Carr,15,67,0,0,BOS,82,0,18.29268293,#DIV/0!,#DIV/0!,#DIV/0!,15,82
COWENDA01 ,1996,1,Dave,Cowens,54,28,0,3,CHA,82,3,65.85365854,0,32.92682927,0,54,85
FRATEMI01 ,1983,1,Mike,Fratello,40,42,2,3,ATL,82,5,48.7804878,40,44.3902439,0,42,87
FRATEMI01 ,1996,1,Mike,Fratello,42,40,0,0,CLE,82,0,51.2195122,#DIV/0!,#DIV/0!,#DIV/0!,42,82
CLEAMJI01 ,1996,1,Jim,Cleamons,24,58,0,0,DAL,82,0,29.26829268,#DIV/0!,#DIV/0!,#DIV/0!,24,82
BICKEBE01 ,1996,1,Bernie,Bickerstaff,4,9,0,0,DEN,13,0,30.76923077,#DIV/0!,#DIV/0!,#DIV/0!,4,13
MOTTADI01 ,1996,2,Dick,Motta,17,52,0,0,DEN,69,0,24.63768116,#DIV/0!,#DIV/0!,#DIV/0!,17,69
SCHAYDO01 ,1965,1,Dolph,Schayes,55,25,1,4,PHI,80,5,68.75,20,44.375,0,56,85
ADELMRI01 ,1996,1,Rick,Adelman,30,52,0,0,GSW,82,0,36.58536585,#DIV/0!,#DIV/0!,#DIV/0!,30,82
REEDWI01  ,1978,1,Willis,Reed,6,8,10,12,NYK,14,22,42.85714286,45.45454545,44.15584416,0,16,36
BROWNLA01 ,1996,1,Larry,Brown,39,43,0,0,IND,82,0,47.56097561,#DIV/0!,#DIV/0!,#DIV/0!,39,82
FITCHBI01 ,1996,1,Bill,Fitch,36,46,0,3,LAC,82,3,43.90243902,0,21.95121951,0,36,85
WESTJE01  ,1977,1,Jerry,West,45,37,1,2,LAL,82,3,54.87804878,33.33333333,44.10569106,0,46,85
RAMSAJA01 ,1978,1,Jack,Ramsay,45,37,1,2,POR,82,3,54.87804878,33.33333333,44.10569106,0,46,85
FORDCH01  ,1996,1,Chris,Ford,33,49,0,0,MIL,82,0,40.24390244,#DIV/0!,#DIV/0!,#DIV/0!,33,82
SAUNDFL01 ,1996,1,Flip,Saunders,40,42,0,3,MIN,82,3,48.7804878,0,24.3902439,0,40,85
CALIPJO01 ,1996,1,John,Calipari,26,56,0,0,NJN,82,0,31.70731707,#DIV/0!,#DIV/0!,#DIV/0!,26,82
SLOANJE01 ,1980,1,Jerry,Sloan,45,37,2,4,CHI,82,6,54.87804878,33.33333333,44.10569106,0,47,88
HILLBR01  ,1996,1,Brian,Hill,24,25,0,0,ORL,49,0,48.97959184,#DIV/0!,#DIV/0!,#DIV/0!,24,49
RAMSAJA01 ,1980,1,Jack,Ramsay,45,37,1,2,POR,82,3,54.87804878,33.33333333,44.10569106,0,46,85
DAVISJO01 ,1996,1,Johnny,Davis,22,60,0,0,PHI,82,0,26.82926829,#DIV/0!,#DIV/0!,#DIV/0!,22,82
FITZSCO01 ,1996,1,Cotton,Fitzsimmons,0,8,0,0,PHO,8,0,0,#DIV/0!,#DIV/0!,#DIV/0!,0,8
PFUNDRA01 ,1992,1,Randy,Pfund,39,43,2,3,LAL,82,5,47.56097561,40,43.7804878,0,41,87
LAPCHJO01 ,1947,1,Joe,Lapchick,26,22,1,2,NYK,48,3,54.16666667,33.33333333,43.75,0,27,51
STJEAGA01 ,1996,1,Garry,StJean,28,39,0,0,SAC,67,0,41.79104478,#DIV/0!,#DIV/0!,#DIV/0!,28,67
JORDAED01 ,1996,2,Eddie,Jordan,6,9,0,0,SAC,15,0,40,#DIV/0!,#DIV/0!,#DIV/0!,6,15
HILLBO01  ,1996,1,Bob,Hill,3,15,0,0,SAS,18,0,16.66666667,#DIV/0!,#DIV/0!,#DIV/0!,3,18
POPOVGR01 ,1996,2,Gregg,Popovich,17,47,0,0,SAS,64,0,26.5625,#DIV/0!,#DIV/0!,#DIV/0!,17,64
AUERBRE01 ,1955,1,Red,Auerbach,39,33,1,2,BOS,72,3,54.16666667,33.33333333,43.75,0,40,75
WALKEDA01 ,1996,1,Darrell,Walker,30,52,0,0,TOR,82,0,36.58536585,#DIV/0!,#DIV/0!,#DIV/0!,30,82
EGANJO01  ,1974,1,John,Egan,41,41,3,5,HOU,82,8,50,37.5,43.75,0,44,90
WINTEBR01 ,1996,1,Brian,Winters,8,35,0,0,VAN,43,0,18.60465116,#DIV/0!,#DIV/0!,#DIV/0!,8,43
JACKSST01 ,1996,2,Stu,Jackson,6,33,0,0,VAN,39,0,15.38461538,#DIV/0!,#DIV/0!,#DIV/0!,6,39
LYNAMJI01 ,1996,1,Jim,Lynam,22,24,0,0,WA1,46,0,47.82608696,#DIV/0!,#DIV/0!,#DIV/0!,22,46
BICKEBE01 ,1996,2,Bernie,Bickerstaff,22,14,0,3,WA1,36,3,61.11111111,0,30.55555556,0,22,39
KUNDLJO01 ,1956,1,John,Kundla,34,38,2,3,MIE,72,5,47.22222222,40,43.61111111,0,36,77
PITINRI01 ,1997,1,Rick,Pitino,36,46,0,0,BOS,82,0,43.90243902,#DIV/0!,#DIV/0!,#DIV/0!,36,82
ADELMRI01 ,1992,1,Rick,Adelman,51,31,1,3,POR,82,4,62.19512195,25,43.59756098,0,52,86
SKILESC01 ,2000,1,Scott,Skiles,51,31,1,3,PHO,82,4,62.19512195,25,43.59756098,0,52,86
RAMSAJA01 ,1968,1,Jack,Ramsay,55,27,1,4,PHI,82,5,67.07317073,20,43.53658537,0,56,87
CLEAMJI01 ,1997,1,Jim,Cleamons,4,12,0,0,DAL,16,0,25,#DIV/0!,#DIV/0!,#DIV/0!,4,16
